,0
1249,py_312_face
1250,dx_312_face
1251,dy_312_face
1252,px_313_face
1253,py_313_face
1254,dx_313_face
1255,dy_313_face
1256,px_314_face
1257,py_314_face
1258,dx_314_face
1259,dy_314_face
1260,px_315_face
1261,py_315_face
1262,dx_315_face
1263,dy_315_face
1264,px_316_face
1265,py_316_face
1266,dx_316_face
1267,dy_316_face
1268,px_317_face
1269,py_317_face
1270,dx_317_face
1271,dy_317_face
1272,px_318_face
1273,py_318_face
1274,dx_318_face
1275,dy_318_face
1276,px_319_face
1277,py_319_face
1278,dx_319_face
1279,dy_319_face
1280,px_320_face
1281,py_320_face
1282,dx_320_face
1283,dy_320_face
1284,px_321_face
1285,py_321_face
1286,dx_321_face
1287,dy_321_face
1288,px_322_face
1289,py_322_face
1290,dx_322_face
1291,dy_322_face
1292,px_323_face
1293,py_323_face
1294,dx_323_face
1295,dy_323_face
1296,px_324_face
1297,py_324_face
1298,dx_324_face
1299,dy_324_face
1300,px_325_face
1301,py_325_face
1302,dx_325_face
1303,dy_325_face
1304,px_326_face
1305,py_326_face
1306,dx_326_face
1307,dy_326_face
1308,px_327_face
1309,py_327_face
1310,dx_327_face
1311,dy_327_face
1312,px_328_face
1313,py_328_face
1314,dx_328_face
1315,dy_328_face
1316,px_329_face
1317,py_329_face
1318,dx_329_face
1319,dy_329_face
1320,px_330_face
1321,py_330_face
1322,dx_330_face
1323,dy_330_face
1324,px_331_face
1325,py_331_face
1326,dx_331_face
1327,dy_331_face
1328,px_332_face
1329,py_332_face
1330,dx_332_face
1331,dy_332_face
1332,px_333_face
1333,py_333_face
1334,dx_333_face
1335,dy_333_face
1336,px_334_face
1337,py_334_face
1338,dx_334_face
1339,dy_334_face
1340,px_335_face
1341,py_335_face
1342,dx_335_face
1343,dy_335_face
1344,px_336_face
1345,py_336_face
1346,dx_336_face
1347,dy_336_face
1348,px_337_face
1349,py_337_face
1350,dx_337_face
1351,dy_337_face
1352,px_338_face
1353,py_338_face
1354,dx_338_face
1355,dy_338_face
1356,px_339_face
1357,py_339_face
1358,dx_339_face
1359,dy_339_face
1360,px_340_face
1361,py_340_face
1362,dx_340_face
1363,dy_340_face
1364,px_341_face
1365,py_341_face
1366,dx_341_face
1367,dy_341_face
1368,px_342_face
1369,py_342_face
1370,dx_342_face
1371,dy_342_face
1372,px_343_face
1373,py_343_face
1374,dx_343_face
1375,dy_343_face
1376,px_344_face
1377,py_344_face
1378,dx_344_face
1379,dy_344_face
1380,px_345_face
1381,py_345_face
1382,dx_345_face
1383,dy_345_face
1384,px_346_face
1385,py_346_face
1386,dx_346_face
1387,dy_346_face
1388,px_347_face
1389,py_347_face
1390,dx_347_face
1391,dy_347_face
1392,px_348_face
1393,py_348_face
1394,dx_348_face
1395,dy_348_face
1396,px_349_face
1397,py_349_face
1398,dx_349_face
1399,dy_349_face
1400,px_350_face
1401,py_350_face
1402,dx_350_face
1403,dy_350_face
1404,px_351_face
1405,py_351_face
1406,dx_351_face
1407,dy_351_face
1408,px_352_face
1409,py_352_face
1410,dx_352_face
1411,dy_352_face
1412,px_353_face
1413,py_353_face
1414,dx_353_face
1415,dy_353_face
1416,px_354_face
1417,py_354_face
1418,dx_354_face
1419,dy_354_face
1420,px_355_face
1421,py_355_face
1422,dx_355_face
1423,dy_355_face
1424,px_356_face
1425,py_356_face
1426,dx_356_face
1427,dy_356_face
1428,px_357_face
1429,py_357_face
1430,dx_357_face
1431,dy_357_face
1432,px_358_face
1433,py_358_face
1434,dx_358_face
1435,dy_358_face
1436,px_359_face
1437,py_359_face
1438,dx_359_face
1439,dy_359_face
1440,px_360_face
1441,py_360_face
1442,dx_360_face
1443,dy_360_face
1444,px_361_face
1445,py_361_face
1446,dx_361_face
1447,dy_361_face
1448,px_362_face
1449,py_362_face
1450,dx_362_face
1451,dy_362_face
1452,px_363_face
1453,py_363_face
1454,dx_363_face
1455,dy_363_face
1456,px_364_face
1457,py_364_face
1458,dx_364_face
1459,dy_364_face
1460,px_365_face
1461,py_365_face
1462,dx_365_face
1463,dy_365_face
1464,px_366_face
